INFO 2022-05-06 10:55:43,893 basehttp 161 "GET / HTTP/1.1" 200 11037
WARNING 2022-05-06 10:55:43,927 basehttp 161 "GET /static/css/goods_list.css HTTP/1.1" 404 1813
WARNING 2022-05-06 10:55:43,928 basehttp 161 "GET /static/css/next_page.css HTTP/1.1" 404 1810
WARNING 2022-05-06 10:55:43,954 log 230 Not Found: /images/logo.png
WARNING 2022-05-06 10:55:43,955 log 230 Not Found: /images/code.jpg
WARNING 2022-05-06 10:55:43,956 basehttp 161 "GET /images/logo.png HTTP/1.1" 404 2185
WARNING 2022-05-06 10:55:43,958 log 230 Not Found: /images/banner/1.jpg
WARNING 2022-05-06 10:55:43,959 log 230 Not Found: /images/banner/2.jpg
WARNING 2022-05-06 10:55:43,961 basehttp 161 "GET /images/code.jpg HTTP/1.1" 404 2185
WARNING 2022-05-06 10:55:43,962 log 230 Not Found: /images/banner/3.jpg
WARNING 2022-05-06 10:55:43,965 basehttp 161 "GET /images/banner/1.jpg HTTP/1.1" 404 2197
WARNING 2022-05-06 10:55:43,967 log 230 Not Found: /images/banner/4.jpg
WARNING 2022-05-06 10:55:43,968 basehttp 161 "GET /images/banner/2.jpg HTTP/1.1" 404 2197
WARNING 2022-05-06 10:55:43,968 basehttp 161 "GET /images/banner/4.jpg HTTP/1.1" 404 2197
WARNING 2022-05-06 10:55:43,970 basehttp 161 "GET /images/banner/3.jpg HTTP/1.1" 404 2197
WARNING 2022-05-06 10:55:43,976 log 230 Not Found: /images/banner/5.jpg
WARNING 2022-05-06 10:55:43,982 log 230 Not Found: /images/camera.jpg
WARNING 2022-05-06 10:55:43,983 log 230 Not Found: /images/gallery/01.jpg
WARNING 2022-05-06 10:55:43,983 basehttp 161 "GET /images/banner/5.jpg HTTP/1.1" 404 2197
WARNING 2022-05-06 10:55:43,987 basehttp 161 "GET /images/camera.jpg HTTP/1.1" 404 2191
WARNING 2022-05-06 10:55:43,988 basehttp 161 "GET /images/gallery/01.jpg HTTP/1.1" 404 2203
WARNING 2022-05-06 10:55:43,989 log 230 Not Found: /images/gallery/02.jpg
WARNING 2022-05-06 10:55:43,993 log 230 Not Found: /images/gallery/03.jpg
WARNING 2022-05-06 10:55:43,993 log 230 Not Found: /images/gallery/04.jpg
WARNING 2022-05-06 10:55:43,997 basehttp 161 "GET /images/gallery/02.jpg HTTP/1.1" 404 2203
WARNING 2022-05-06 10:55:43,998 log 230 Not Found: /images/gallery/06.jpg
WARNING 2022-05-06 10:55:43,999 basehttp 161 "GET /images/gallery/04.jpg HTTP/1.1" 404 2203
WARNING 2022-05-06 10:55:43,999 basehttp 161 "GET /images/gallery/03.jpg HTTP/1.1" 404 2203
WARNING 2022-05-06 10:55:44,002 basehttp 161 "GET /images/gallery/06.jpg HTTP/1.1" 404 2203
WARNING 2022-05-06 10:55:44,003 log 230 Not Found: /images/gallery/05.jpg
WARNING 2022-05-06 10:55:44,004 log 230 Not Found: /images/gallery/07.jpg
WARNING 2022-05-06 10:55:44,010 log 230 Not Found: /images/gallery/08.jpg
WARNING 2022-05-06 10:55:44,011 basehttp 161 "GET /images/gallery/05.jpg HTTP/1.1" 404 2203
WARNING 2022-05-06 10:55:44,011 log 230 Not Found: /images/gallery/11.jpg
WARNING 2022-05-06 10:55:44,012 basehttp 161 "GET /images/gallery/11.jpg HTTP/1.1" 404 2203
WARNING 2022-05-06 10:55:44,012 basehttp 161 "GET /images/gallery/07.jpg HTTP/1.1" 404 2203
WARNING 2022-05-06 10:55:44,013 log 230 Not Found: /images/gallery/09.jpg
WARNING 2022-05-06 10:55:44,014 log 230 Not Found: /images/gallery/10.jpg
WARNING 2022-05-06 10:55:44,017 basehttp 161 "GET /images/gallery/08.jpg HTTP/1.1" 404 2203
WARNING 2022-05-06 10:55:44,020 basehttp 161 "GET /images/gallery/09.jpg HTTP/1.1" 404 2203
WARNING 2022-05-06 10:55:44,022 log 230 Not Found: /images/gallery/12.jpg
WARNING 2022-05-06 10:55:44,022 basehttp 161 "GET /images/gallery/10.jpg HTTP/1.1" 404 2203
WARNING 2022-05-06 10:55:44,023 log 230 Not Found: /images/gallery/13.jpg
WARNING 2022-05-06 10:55:44,024 log 230 Not Found: /images/gallery/14.jpg
WARNING 2022-05-06 10:55:44,025 log 230 Not Found: /images/gallery/15.jpg
WARNING 2022-05-06 10:55:44,026 basehttp 161 "GET /images/gallery/12.jpg HTTP/1.1" 404 2203
WARNING 2022-05-06 10:55:44,026 basehttp 161 "GET /images/gallery/13.jpg HTTP/1.1" 404 2203
WARNING 2022-05-06 10:55:44,026 basehttp 161 "GET /images/gallery/14.jpg HTTP/1.1" 404 2203
WARNING 2022-05-06 10:55:44,026 basehttp 161 "GET /images/gallery/15.jpg HTTP/1.1" 404 2203
WARNING 2022-05-06 10:55:59,349 log 230 Not Found: /login.html
WARNING 2022-05-06 10:55:59,351 basehttp 161 "GET /login.html HTTP/1.1" 404 2170
INFO 2022-05-16 17:22:59,575 autoreload 637 Watching for file changes with StatReloader
INFO 2022-05-16 17:23:44,212 autoreload 637 Watching for file changes with StatReloader
INFO 2022-05-16 17:24:09,852 autoreload 637 Watching for file changes with StatReloader
INFO 2022-05-16 17:29:14,438 autoreload 637 Watching for file changes with StatReloader
INFO 2022-05-16 17:39:38,104 autoreload 637 Watching for file changes with StatReloader
INFO 2022-05-16 17:40:17,971 autoreload 637 Watching for file changes with StatReloader
INFO 2022-05-16 17:40:59,596 autoreload 637 Watching for file changes with StatReloader
INFO 2022-05-16 17:41:06,104 autoreload 637 Watching for file changes with StatReloader
INFO 2022-05-16 17:41:08,873 basehttp 161 "GET / HTTP/1.1" 200 11037
INFO 2022-05-16 17:41:09,239 basehttp 161 "GET /static/css/index1.1.css HTTP/1.1" 200 2434
INFO 2022-05-16 17:41:09,249 basehttp 161 "GET /static/css/footer.css HTTP/1.1" 200 169
INFO 2022-05-16 17:41:09,259 basehttp 161 "GET /static/css/header.css HTTP/1.1" 200 2407
INFO 2022-05-16 17:41:09,279 basehttp 161 "GET /static/js/photo.js HTTP/1.1" 200 1148
WARNING 2022-05-16 17:41:09,313 log 230 Not Found: /images/code.jpg
WARNING 2022-05-16 17:41:09,313 basehttp 161 "GET /static/css/next_page.css HTTP/1.1" 404 1810
WARNING 2022-05-16 17:41:09,323 basehttp 161 "GET /static/css/goods_list.css HTTP/1.1" 404 1813
WARNING 2022-05-16 17:41:09,326 log 230 Not Found: /images/banner/2.jpg
WARNING 2022-05-16 17:41:09,326 log 230 Not Found: /images/banner/1.jpg
WARNING 2022-05-16 17:41:09,334 basehttp 161 "GET /images/code.jpg HTTP/1.1" 404 3204
WARNING 2022-05-16 17:41:09,334 log 230 Not Found: /images/logo.png
WARNING 2022-05-16 17:41:09,350 basehttp 161 "GET /images/banner/2.jpg HTTP/1.1" 404 3216
WARNING 2022-05-16 17:41:09,358 basehttp 161 "GET /images/banner/1.jpg HTTP/1.1" 404 3216
WARNING 2022-05-16 17:41:09,366 log 230 Not Found: /images/banner/3.jpg
WARNING 2022-05-16 17:41:09,366 basehttp 161 "GET /images/logo.png HTTP/1.1" 404 3204
WARNING 2022-05-16 17:41:09,374 log 230 Not Found: /images/banner/4.jpg
WARNING 2022-05-16 17:41:09,382 log 230 Not Found: /images/banner/5.jpg
WARNING 2022-05-16 17:41:09,382 basehttp 161 "GET /images/banner/3.jpg HTTP/1.1" 404 3216
WARNING 2022-05-16 17:41:09,390 basehttp 161 "GET /images/banner/4.jpg HTTP/1.1" 404 3216
WARNING 2022-05-16 17:41:09,398 basehttp 161 "GET /images/banner/5.jpg HTTP/1.1" 404 3216
WARNING 2022-05-16 17:41:09,398 log 230 Not Found: /images/gallery/01.jpg
WARNING 2022-05-16 17:41:09,406 log 230 Not Found: /images/camera.jpg
WARNING 2022-05-16 17:41:09,414 log 230 Not Found: /images/gallery/02.jpg
WARNING 2022-05-16 17:41:09,430 basehttp 161 "GET /images/gallery/01.jpg HTTP/1.1" 404 3222
WARNING 2022-05-16 17:41:09,430 basehttp 161 "GET /images/camera.jpg HTTP/1.1" 404 3210
WARNING 2022-05-16 17:41:09,438 log 230 Not Found: /images/gallery/03.jpg
WARNING 2022-05-16 17:41:09,438 log 230 Not Found: /images/gallery/04.jpg
WARNING 2022-05-16 17:41:09,446 log 230 Not Found: /images/gallery/05.jpg
WARNING 2022-05-16 17:41:09,446 basehttp 161 "GET /images/gallery/02.jpg HTTP/1.1" 404 3222
WARNING 2022-05-16 17:41:09,454 basehttp 161 "GET /images/gallery/03.jpg HTTP/1.1" 404 3222
WARNING 2022-05-16 17:41:09,454 basehttp 161 "GET /images/gallery/04.jpg HTTP/1.1" 404 3222
WARNING 2022-05-16 17:41:09,454 basehttp 161 "GET /images/gallery/05.jpg HTTP/1.1" 404 3222
WARNING 2022-05-16 17:41:09,462 log 230 Not Found: /images/gallery/07.jpg
WARNING 2022-05-16 17:41:09,470 log 230 Not Found: /images/gallery/06.jpg
WARNING 2022-05-16 17:41:09,494 basehttp 161 "GET /images/gallery/07.jpg HTTP/1.1" 404 3222
WARNING 2022-05-16 17:41:09,494 basehttp 161 "GET /images/gallery/06.jpg HTTP/1.1" 404 3222
WARNING 2022-05-16 17:41:09,502 log 230 Not Found: /images/gallery/08.jpg
WARNING 2022-05-16 17:41:09,502 log 230 Not Found: /images/gallery/09.jpg
WARNING 2022-05-16 17:41:09,510 log 230 Not Found: /images/gallery/10.jpg
WARNING 2022-05-16 17:41:09,518 log 230 Not Found: /images/gallery/11.jpg
